Country,Month,Total Passengers
Belgium,10/01/2020,6327
Israel,10/01/2020,23288
Trinidad and Tobago,10/01/2020,1401
Haiti,10/01/2020,52776
Iceland,10/01/2020,651
Spain,10/01/2020,7042
Antilles,10/01/2020,7965
Panama,10/01/2020,4687
Argentina,10/01/2020,14170
Taiwan,10/01/2020,14519
Philippines,10/01/2020,10484
Australia,10/01/2020,4424
United Arab Emirates,10/01/2020,36128
South Korea,10/01/2020,51104
Hong Kong,10/01/2020,5292
China,10/01/2020,14702
Canada,10/01/2020,107138
Atlantic Ocean,10/01/2020,8694
Aruba,10/01/2020,41688
Netherlands,10/01/2020,53298
Costa Rica,10/01/2020,23054
Ecuador,10/01/2020,45519
Guatemala,10/01/2020,34534
Mexico,10/01/2020,1209681
Jamaica,10/01/2020,89556
Dominican Republic,10/01/2020,268122
Honduras,10/01/2020,29994
El Salvador,10/01/2020,57312
United Kingdom,10/01/2020,71340
Peru,10/01/2020,230
Bahamas,10/01/2020,8483
Switzerland,10/01/2020,6811
Ireland,10/01/2020,9526
France,10/01/2020,39890
Colombia,10/01/2020,107548
Germany,10/01/2020,67728
Japan,10/01/2020,38752
Turkey,10/01/2020,80783
Brazil,10/01/2020,27595
Mexico,09/01/2020,888822
United Arab Emirates,09/01/2020,32884
United Kingdom,09/01/2020,63599
Turkey,09/01/2020,76002
Italy,09/01/2020,6042
Antilles,09/01/2020,3475
Spain,09/01/2020,10217
Iceland,09/01/2020,806
Bahamas,09/01/2020,3513
Dominican Republic,09/01/2020,225254
Honduras,09/01/2020,22755
China,09/01/2020,13018
Hong Kong,09/01/2020,4762
Haiti,09/01/2020,48201
El Salvador,09/01/2020,16725
Panama,09/01/2020,563
Netherlands,09/01/2020,51668
Brazil,09/01/2020,27728
Germany,09/01/2020,71808
South Korea,09/01/2020,56045
Japan,09/01/2020,37109
Atlantic Ocean,09/01/2020,6405
Aruba,09/01/2020,28169
Ireland,09/01/2020,13821
France,09/01/2020,42001
Australia,09/01/2020,3455
Trinidad and Tobago,09/01/2020,738
Argentina,09/01/2020,6027
Taiwan,09/01/2020,14354
Israel,09/01/2020,24165
Denmark,09/01/2020,4323
New Zealand,09/01/2020,4323
Belgium,09/01/2020,5697
Peru,09/01/2020,114
Cayman Islands,09/01/2020,528
Philippines,09/01/2020,10894
Russia,09/01/2020,6289
Switzerland,09/01/2020,8275
Chile,09/01/2020,13739
Guatemala,09/01/2020,10987
Colombia,09/01/2020,21432
Costa Rica,09/01/2020,10400
Canada,09/01/2020,88375
Ecuador,09/01/2020,37649
Jamaica,09/01/2020,62716
China,08/01/2020,12204
Taiwan,08/01/2020,19146
Dominican Republic,08/01/2020,231782
Panama,08/01/2020,477
Aruba,08/01/2020,32773
Russia,08/01/2020,5153
France,08/01/2020,47979
Atlantic Ocean,08/01/2020,8083
Hong Kong,08/01/2020,4560
Netherlands,08/01/2020,60594
Argentina,08/01/2020,2729
Honduras,08/01/2020,11057
Colombia,08/01/2020,4254
Canada,08/01/2020,94884
Trinidad and Tobago,08/01/2020,759
Switzerland,08/01/2020,13328
Denmark,08/01/2020,5921
Ireland,08/01/2020,16623
Israel,08/01/2020,25914
Philippines,08/01/2020,12274
El Salvador,08/01/2020,2184
Haiti,08/01/2020,50836
Guatemala,08/01/2020,2535
Ecuador,08/01/2020,33995
Mexico,08/01/2020,844242
Belgium,08/01/2020,6183
Italy,08/01/2020,7253
Turkey,08/01/2020,75014
Chile,08/01/2020,7534
Iceland,08/01/2020,2023
New Zealand,08/01/2020,3696
Bahamas,08/01/2020,2274
Antilles,08/01/2020,4976
United Arab Emirates,08/01/2020,28678
Peru,08/01/2020,118
United Kingdom,08/01/2020,68205
Brazil,08/01/2020,20533
Australia,08/01/2020,4571
Japan,08/01/2020,38044
Germany,08/01/2020,85042
Costa Rica,08/01/2020,4433
Jamaica,08/01/2020,92012
Spain,08/01/2020,13831
South Korea,08/01/2020,75976
Cayman Islands,08/01/2020,516
United Kingdom,07/01/2020,52541
Italy,07/01/2020,4577
Switzerland,07/01/2020,11858
Haiti,07/01/2020,33783
Ireland,07/01/2020,11820
Iceland,07/01/2020,2043
Israel,07/01/2020,15812
Denmark,07/01/2020,4564
Spain,07/01/2020,9114
Japan,07/01/2020,34517
Bahamas,07/01/2020,18333
Hong Kong,07/01/2020,7514
Jamaica,07/01/2020,82405
Netherlands,07/01/2020,55022
China,07/01/2020,9266
Honduras,07/01/2020,4375
Dominican Republic,07/01/2020,223118
El Salvador,07/01/2020,3443
Canada,07/01/2020,79262
Germany,07/01/2020,65323
France,07/01/2020,39813
South Korea,07/01/2020,67338
Mexico,07/01/2020,677682
Colombia,07/01/2020,4474
Aruba,07/01/2020,17343
Ecuador,07/01/2020,27792
Guatemala,07/01/2020,3240
Atlantic Ocean,07/01/2020,2924
Trinidad and Tobago,07/01/2020,358
Peru,07/01/2020,203
New Zealand,07/01/2020,4772
Russia,07/01/2020,3740
Cayman Islands,07/01/2020,412
Chile,07/01/2020,4516
Argentina,07/01/2020,1619
Australia,07/01/2020,5021
Belgium,07/01/2020,3842
Costa Rica,07/01/2020,4374
Panama,07/01/2020,977
Philippines,07/01/2020,16178
Antilles,07/01/2020,241
Brazil,07/01/2020,11996
Taiwan,07/01/2020,14581
Turkey,07/01/2020,31927
United Arab Emirates,07/01/2020,21122
Turkey,06/01/2020,9833
Japan,06/01/2020,24934
Italy,06/01/2020,2005
Netherlands,06/01/2020,43733
Hong Kong,06/01/2020,3489
United Arab Emirates,06/01/2020,3485
China,06/01/2020,11372
Spain,06/01/2020,5215
Iceland,06/01/2020,674
Argentina,06/01/2020,2575
Cayman Islands,06/01/2020,505
New Zealand,06/01/2020,3595
United Kingdom,06/01/2020,35699
Germany,06/01/2020,42314
South Korea,06/01/2020,50769
France,06/01/2020,22253
Ireland,06/01/2020,5907
Chile,06/01/2020,4006
Panama,06/01/2020,798
Costa Rica,06/01/2020,2900
Guatemala,06/01/2020,3537
Jamaica,06/01/2020,22188
Canada,06/01/2020,47942
Mexico,06/01/2020,267316
Australia,06/01/2020,4466
Russia,06/01/2020,2776
Colombia,06/01/2020,6737
Philippines,06/01/2020,9560
Brazil,06/01/2020,7099
Antilles,06/01/2020,108
Israel,06/01/2020,13360
Honduras,06/01/2020,3945
Dominican Republic,06/01/2020,11115
Ecuador,06/01/2020,15127
Denmark,06/01/2020,1758
Haiti,06/01/2020,2594
Peru,06/01/2020,710
Bahamas,06/01/2020,494
El Salvador,06/01/2020,4409
Taiwan,06/01/2020,10028
Switzerland,06/01/2020,6471
United Kingdom,05/01/2020,24364
El Salvador,05/01/2020,2512
Haiti,05/01/2020,285
Jamaica,05/01/2020,1347
Guatemala,05/01/2020,1965
Colombia,05/01/2020,5305
Honduras,05/01/2020,2907
Philippines,05/01/2020,3272
Brazil,05/01/2020,11021
Turkey,05/01/2020,812
Israel,05/01/2020,6390
Aruba,05/01/2020,199
Switzerland,05/01/2020,1343
Panama,05/01/2020,605
Costa Rica,05/01/2020,2245
Cayman Islands,05/01/2020,289
Australia,05/01/2020,3450
Chile,05/01/2020,3679
Italy,05/01/2020,534
Peru,05/01/2020,883
Taiwan,05/01/2020,7119
United Arab Emirates,05/01/2020,529
New Zealand,05/01/2020,3595
Russia,05/01/2020,3067
Japan,05/01/2020,15165
South Korea,05/01/2020,43764
Iceland,05/01/2020,354
Ireland,05/01/2020,2719
Germany,05/01/2020,19190
Mexico,05/01/2020,87774
Antilles,05/01/2020,123
Bahamas,05/01/2020,251
France,05/01/2020,9507
Ecuador,05/01/2020,2597
China,05/01/2020,11202
Argentina,05/01/2020,1667
Dominican Republic,05/01/2020,7694
Hong Kong,05/01/2020,2835
Netherlands,05/01/2020,23952
Canada,05/01/2020,21768
Spain,05/01/2020,3545
Hong Kong,04/01/2020,1900
Japan,04/01/2020,17931
Mexico,04/01/2020,79000
Argentina,04/01/2020,1714
Brazil,04/01/2020,10397
Canada,04/01/2020,21955
Netherlands,04/01/2020,16904
Cayman Islands,04/01/2020,75
China,04/01/2020,8416
Haiti,04/01/2020,538
Jamaica,04/01/2020,1433
Guatemala,04/01/2020,1277
El Salvador,04/01/2020,2975
Ecuador,04/01/2020,1778
Honduras,04/01/2020,2126
Dominican Republic,04/01/2020,5681
South Korea,04/01/2020,42082
Philippines,04/01/2020,97692
Italy,04/01/2020,2567
Australia,04/01/2020,4069
Panama,04/01/2020,147
Colombia,04/01/2020,2244
Aruba,04/01/2020,22
Bahamas,04/01/2020,297
France,04/01/2020,4100
Turkey,04/01/2020,1011
Peru,04/01/2020,1026
Costa Rica,04/01/2020,1045
United Arab Emirates,04/01/2020,644
Iceland,04/01/2020,157
United Kingdom,04/01/2020,19062
Ireland,04/01/2020,1592
New Zealand,04/01/2020,4090
Israel,04/01/2020,2788
Russia,04/01/2020,1184
Taiwan,04/01/2020,5198
Switzerland,04/01/2020,950
Germany,04/01/2020,10152
Chile,04/01/2020,726
United Kingdom,03/01/2020,719970
Jamaica,03/01/2020,214699
Costa Rica,03/01/2020,189970
Peru,03/01/2020,76270
Cayman Islands,03/01/2020,53819
Italy,03/01/2020,31303
Turkey,03/01/2020,96943
South Korea,03/01/2020,103175
Iceland,03/01/2020,34086
Ireland,03/01/2020,104096
Switzerland,03/01/2020,55502
Japan,03/01/2020,347215
Spain,03/01/2020,124866
Chile,03/01/2020,55619
Panama,03/01/2020,161861
Argentina,03/01/2020,61985
Dominican Republic,03/01/2020,343622
Honduras,03/01/2020,41546
El Salvador,03/01/2020,73076
China,03/01/2020,40128
Philippines,03/01/2020,62144
Hong Kong,03/01/2020,33356
Guatemala,03/01/2020,56189
Colombia,03/01/2020,180686
Mexico,03/01/2020,1575662
Haiti,03/01/2020,33210
Ecuador,03/01/2020,55171
France,03/01/2020,220982
Belgium,03/01/2020,31095
Bahamas,03/01/2020,146592
Germany,03/01/2020,286396
Netherlands,03/01/2020,189420
Canada,03/01/2020,1328134
Antilles,03/01/2020,52788
Atlantic Ocean,03/01/2020,16951
Aruba,03/01/2020,89090
Russia,03/01/2020,39680
Brazil,03/01/2020,205063
Australia,03/01/2020,151536
Denmark,03/01/2020,21780
United Arab Emirates,03/01/2020,161394
Israel,03/01/2020,73230
New Zealand,03/01/2020,78610
Taiwan,03/01/2020,102529
Trinidad and Tobago,03/01/2020,36012
United Kingdom,02/01/2020,1238963
South Korea,02/01/2020,415825
Costa Rica,02/01/2020,319620
Peru,02/01/2020,155138
Cayman Islands,02/01/2020,93231
Italy,02/01/2020,129391
Argentina,02/01/2020,136165
Brazil,02/01/2020,369048
Ireland,02/01/2020,158819
United Arab Emirates,02/01/2020,260816
Switzerland,02/01/2020,148074
Panama,02/01/2020,277750
Spain,02/01/2020,227179
Chile,02/01/2020,95404
Honduras,02/01/2020,75434
El Salvador,02/01/2020,168013
Japan,02/01/2020,779001
Hong Kong,02/01/2020,87364
Dominican Republic,02/01/2020,527150
Mexico,02/01/2020,2335801
Colombia,02/01/2020,311434
Canada,02/01/2020,2410160
Jamaica,02/01/2020,348378
Ecuador,02/01/2020,103156
Guatemala,02/01/2020,106391
France,02/01/2020,477782
Belgium,02/01/2020,61596
Bahamas,02/01/2020,260841
Germany,02/01/2020,626859
Netherlands,02/01/2020,346844
China,02/01/2020,77911
Antilles,02/01/2020,98292
Atlantic Ocean,02/01/2020,31924
Aruba,02/01/2020,152091
Russia,02/01/2020,49909
Turkey,02/01/2020,144657
Australia,02/01/2020,225836
Iceland,02/01/2020,59195
Haiti,02/01/2020,57698
Israel,02/01/2020,120431
Philippines,02/01/2020,107066
Taiwan,02/01/2020,187154
New Zealand,02/01/2020,89621
Trinidad and Tobago,02/01/2020,75654
Denmark,02/01/2020,44848
Peru,01/01/2020,168966
Turkey,01/01/2020,166221
Spain,01/01/2020,262893
Costa Rica,01/01/2020,358901
Brazil,01/01/2020,444207
Italy,01/01/2020,174383
Argentina,01/01/2020,149353
South Korea,01/01/2020,572037
Switzerland,01/01/2020,172800
Ireland,01/01/2020,185448
Haiti,01/01/2020,68873
Japan,01/01/2020,918689
Chile,01/01/2020,108308
Panama,01/01/2020,329376
Germany,01/01/2020,735045
El Salvador,01/01/2020,206791
Jamaica,01/01/2020,384220
United Kingdom,01/01/2020,1405905
Mexico,01/01/2020,2770608
Honduras,01/01/2020,99733
Israel,01/01/2020,146381
Canada,01/01/2020,2414302
Dominican Republic,01/01/2020,632420
Ecuador,01/01/2020,103273
Guatemala,01/01/2020,132740
Colombia,01/01/2020,366239
Belgium,01/01/2020,61126
Antilles,01/01/2020,97776
Atlantic Ocean,01/01/2020,33680
France,01/01/2020,533661
Bahamas,01/01/2020,247043
Cayman Islands,01/01/2020,93576
China,01/01/2020,665735
Aruba,01/01/2020,151331
Netherlands,01/01/2020,396750
Russia,01/01/2020,41731
Australia,01/01/2020,312766
Hong Kong,01/01/2020,288191
United Arab Emirates,01/01/2020,337008
Iceland,01/01/2020,59861
Denmark,01/01/2020,47357
Taiwan,01/01/2020,299587
New Zealand,01/01/2020,126328
Philippines,01/01/2020,130421
Trinidad and Tobago,01/01/2020,74813
Turkey,12/01/2019,171906
Costa Rica,12/01/2019,323034
Peru,12/01/2019,163952
United Kingdom,12/01/2019,1669448
Italy,12/01/2019,229882
Argentina,12/01/2019,149396
Germany,12/01/2019,837094
Brazil,12/01/2019,420356
Cayman Islands,12/01/2019,108465
Ireland,12/01/2019,243453
Switzerland,12/01/2019,201330
Japan,12/01/2019,906323
Spain,12/01/2019,326717
Chile,12/01/2019,104974
Panama,12/01/2019,341093
El Salvador,12/01/2019,208344
Haiti,12/01/2019,64764
South Korea,12/01/2019,542626
Dominican Republic,12/01/2019,605975
Honduras,12/01/2019,102992
Colombia,12/01/2019,370959
Canada,12/01/2019,2535458
Hong Kong,12/01/2019,286779
Jamaica,12/01/2019,413380
Ecuador,12/01/2019,107675
Guatemala,12/01/2019,138190
Antilles,12/01/2019,88550
Atlantic Ocean,12/01/2019,46782
Aruba,12/01/2019,155715
France,12/01/2019,615165
Belgium,12/01/2019,70569
Mexico,12/01/2019,2885584
China,12/01/2019,698907
Philippines,12/01/2019,87857
Netherlands,12/01/2019,461992
Bahamas,12/01/2019,221299
Russia,12/01/2019,66698
Australia,12/01/2019,292712
Israel,12/01/2019,150930
Iceland,12/01/2019,81501
United Arab Emirates,12/01/2019,357152
Taiwan,12/01/2019,272642
New Zealand,12/01/2019,123217
Trinidad and Tobago,12/01/2019,95695
Denmark,12/01/2019,46836
South Korea,11/01/2019,469304
Brazil,11/01/2019,345929
Iceland,11/01/2019,84389
Turkey,11/01/2019,165489
Germany,11/01/2019,767467
Ireland,11/01/2019,242831
Cayman Islands,11/01/2019,78430
Italy,11/01/2019,227475
Argentina,11/01/2019,134259
Chile,11/01/2019,78461
Panama,11/01/2019,284845
Denmark,11/01/2019,46762
Costa Rica,11/01/2019,218880
Peru,11/01/2019,150539
United Kingdom,11/01/2019,1553709
Spain,11/01/2019,303112
France,11/01/2019,588149
El Salvador,11/01/2019,186538
Haiti,11/01/2019,40953
Mexico,11/01/2019,2400193
Dominican Republic,11/01/2019,494986
Honduras,11/01/2019,71158
Colombia,11/01/2019,304309
Canada,11/01/2019,2394377
Aruba,11/01/2019,137979
Jamaica,11/01/2019,321864
Ecuador,11/01/2019,92728
Guatemala,11/01/2019,118981
Netherlands,11/01/2019,421438
Antilles,11/01/2019,70845
Belgium,11/01/2019,69333
Atlantic Ocean,11/01/2019,46583
Hong Kong,11/01/2019,251986
Japan,11/01/2019,880427
China,11/01/2019,594798
Switzerland,11/01/2019,170318
Bahamas,11/01/2019,203267
Philippines,11/01/2019,88035
Russia,11/01/2019,59662
Australia,11/01/2019,249968
United Arab Emirates,11/01/2019,298279
Israel,11/01/2019,136180
New Zealand,11/01/2019,94660
Taiwan,11/01/2019,260511
Trinidad and Tobago,11/01/2019,72622
Costa Rica,10/01/2019,163496
Peru,10/01/2019,158958
Haiti,10/01/2019,42384
Turkey,10/01/2019,185298
